								R$ 552.311,29
						R$ 130,54		R$ 130,54
ESTOQUE	SKU BASE	DESCRIÇÃO	CUSTO	EAN	NCM	MARCA	CUSTO ESTOQUE TOTAL	Quantidade	Devolução/Semana
0	54298LV_B	Xícara Café Paris 76ml, Lavanda, Porelanas Lu	R$ 4,05	7898972482374	6911.10.90	PORCELANAS LU	R$ 0,00
0	54298M_B	Xícara Café Paris 76ml, Marrom, Porelanas Lu	R$ 4,05	7898972482374	6911.10.90	PORCELANAS LU	R$ 0,00
23	54298AMR_B	Xícara Café Paris 76ml, Amarela, Porelanas Lu	R$ 4,05	7898972482374	6911.10.90	PORCELANAS LU	R$ 93,15
5	54298VDE_B	Xícara Café Paris 76ml, Verde, Porelanas Lu	R$ 4,05	7898972482374	6911.10.90	PORCELANAS LU	R$ 20,25
61	54298V_B	Xícara Café Paris 76ml, Vermelho, Porelanas Lu	R$ 4,05	7898972482374	6911.10.90	PORCELANAS LU	R$ 247,05
5	54298P_B	Xícara Café Paris 76ml, Preto, Porelanas Lu	R$ 4,05	7898972482374	6911.10.90	PORCELANAS LU	R$ 20,25
11	54298R_B	Xícara Café Paris 76ml, Rosa, Porelanas Lu	R$ 4,05	7898972482374	6911.10.90	PORCELANAS LU	R$ 44,55
0	54171_B	Xícara Chá Paris 170ml, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 0,00
209	54171P_B	Xícara Chá Paris 170ml, Preto, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 731,50	1	R$ 3,50
18	54171L_B	Xícara Chá Paris 170ml, Laranja, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 63,00
16	54171M_B	Xícara Chá Paris 170ml, Marrom, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 56,00
0	54171V_B	Xícara Chá Paris 170ml, Vermelho, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 0,00
197	54171R_B	Xícara Chá Paris 170ml, Rosa, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 689,50	3	R$ 10,50
1.144	54171B_B	Xícara Chá Paris 170ml, Branco, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 4.004,00	1	R$ 3,50
520	54171AZ_B	Xícara Chá Paris 170ml, Azul, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 1.820,00	1	R$ 3,50
335	54171VDE_B	Xícara Chá Paris 170ml, Verde, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 1.172,50	1	R$ 3,50
190	54171AMR_B	Xícara Chá Paris 170ml, Amarelo, Porcelanas Lu	R$ 3,50	7898972482381	6911.10.90	PORCELANAS LU	R$ 665,00	1	R$ 3,50
77	914C_B	Jogo de Canequinha 6 peças de 100 ml c/ Suporte, Coloridas, Redar	R$ 18,48	7898653700513	7612.90.19	REDAR	R$ 1.422,96
0	914C_BAB	Jogo de Canequinha 6 peças de 90ml c/ Suporte, Branco	R$ 7,70				R$ 0,00
0	914C_BAP	Jogo de Canequinha 6 peças de 90ml c/ Suporte, Preto	R$ 7,70				R$ 0,00
