cnpj,nome,ok,status_http,id,numero,situacao,valor_produtos_calculado,itens,unidades,get_status,erro
07194128000182,GB COMERCIO DE UTILIDADES DOMESTICAS LTDA,True,201,26038348130,000700,1,63744.32,9,8579.0,200,
45200547000179,TRADES UP IMPORTACAO E COMERCIO LTDA,True,201,26038349482,000701,1,10988.19,8,1645.0,200,
63922116000106,BROGLIO COMERCIO DE UTILIDADES DOMESTICAS LTDA,True,201,26038350718,000702,1,5868.65,7,837.0,200,
